iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,31407713,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,18050670.04627377
AFG,Afghanistan,26796519,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,13996759.742108954
COD,Democratic Republic of the Congo,8233710,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,5646774.450799935
NGA,Nigeria,8187777,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,5271653.875409011
TCD,Chad,8688345,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,5224071.119412173
VEN,Venezuela,5833868,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,4449587.433594007
YEM,Yemen,9770108,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,4312852.356268037
COL,Colombia,5356778,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,3822037.5100779147
BFA,Burkina Faso,6633849,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,3800043.3059389484
HTI,Haiti,5061305,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,3371503.164386028
CMR,Cameroon,3325734,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,2270978.4034878947
MLI,Mali,3215767,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,2196418.144560128
SOM,Somalia,2989870,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1881152.1689771696
UKR,Ukraine,6354433,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1835753.1846026985
NER,Niger,3106382,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,1809268.017565568
SSD,South Sudan,3457047,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1584844.011212573
HND,Honduras,1293204,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,1028799.7954525282
GTM,Guatemala,1765339,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,1009341.0579839109
MOZ,Mozambique,1470693,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,995074.6033889136
CAF,Central African Republic,1220169,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,640937.5150881084
MMR,Myanmar,978586,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,619739.6335738926
SLV,El Salvador,538438,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,364700.88064699114
