iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,9770108,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,4312852.356268037
SDN,Sudan,7414464,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,4261247.650663873
COD,Democratic Republic of the Congo,4056079,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,2781706.3350089025
AFG,Afghanistan,4754550,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,2483467.872518969
COL,Colombia,3332638,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,2377822.5350221796
MLI,Mali,3215767,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,2196418.144560128
VEN,Venezuela,2568844,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1959299.727258718
SOM,Somalia,2989870,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1881152.1689771696
UKR,Ukraine,6354433,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1835753.1846026985
SSD,South Sudan,3845486,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1762919.4677717115
NGA,Nigeria,1885864,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,1214202.8616673779
HTI,Haiti,1798714,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,1198183.0659929505
TCD,Chad,1412896,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,849536.8437064806
BFA,Burkina Faso,1413214,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,809526.1741048379
CAF,Central African Republic,1220169,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,640937.5150881084
MMR,Myanmar,978586,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,619739.6335738926
CMR,Cameroon,855272,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,584022.7273461735
HND,Honduras,523920,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,416801.0529146899
GTM,Guatemala,666884,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,381294.13223893114
NER,Niger,524790,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,305656.4720431146
SLV,El Salvador,304982,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,206573.83762193724
MOZ,Mozambique,305018,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,206375.95023331154
