iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,30440770,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,52484842.99616237
COD,Democratic Republic of the Congo,21241767,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,43703555.451471515
AFG,Afghanistan,22887726,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,35865181.05563118
YEM,Yemen,19540217,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,25877115.461908534
COL,Colombia,9053352,809539590.0,231936658,0.28650440431208557,1903251829.0,5,3.0,19378580.334637113
VEN,Venezuela,7943720,606497714.0,143911895,0.23728349122845993,2035593043.0,5,3.0,18176419.155175976
NGA,Nigeria,7847048,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,15156832.312257841
MLI,Mali,6431534,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,13178508.867360767
SSD,South Sudan,9290088,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,12776806.618860945
TCD,Chad,7049226,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,12715537.180260241
HTI,Haiti,5986456,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,11963330.80942033
SOM,Somalia,5979741,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,11286914.90138873
UKR,Ukraine,12708866,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,11014519.107616192
BFA,Burkina Faso,5915136,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,10165036.75039264
CMR,Cameroon,3322058,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,6805404.737541417
NER,Niger,2580329,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,4508627.787403749
HND,Honduras,1640224,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,3914607.708520066
CAF,Central African Republic,2440338,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,3845625.09052865
MMR,Myanmar,1957173,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,3718439.7013467886
GTM,Guatemala,2163953,100563396.0,43065791,0.4282451937084543,161129045.0,4,3.0,3711751.5850170273
MOZ,Mozambique,1305029,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,2648957.7660042522
SLV,El Salvador,818700,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,1663593.2697117864
