iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
COD,Democratic Republic of the Congo,21241767,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,16174592.967461059,30742444.78461823
SDN,Sudan,30440770,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,11994568.25140646,29489515.916793913
AFG,Afghanistan,22887726,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,11135346.316939536,23090406.668816596
VEN,Venezuela,7943720,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,10664627.941229114,16723434.326287773
COL,Colombia,9053352,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,8513880.71216174,14973407.49037411
YEM,Yemen,19540217,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,5768520.942891968,14394226.09686148
NGA,Nigeria,7847048,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,5838273.281606748,10890550.71902603
MLI,Mali,6431534,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,4874129.686624777,9266965.975745033
SSD,South Sudan,9290088,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,4328437.820662164,8587373.360282479
BFA,Burkina Faso,5915136,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,4799699.875755786,8188045.45922
HTI,Haiti,5986456,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,3648809.270480162,7636586.206953606
TCD,Chad,7049226,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,2562592.003822874,6801104.397242954
SOM,Somalia,5979741,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,2131878.7872060705,5894183.754335647
CMR,Cameroon,3322058,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,2943123.591113653,5211591.836960793
UKR,Ukraine,12708866,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,1057411.6815084121,4728918.050713809
HND,Honduras,1640224,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,1468387.6900698422,2773256.926243197
GTM,Guatemala,2163953,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,1386889.0438619833,2624139.572200992
NER,Niger,2580329,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,964123.2052022933,2466999.1343368767
CAF,Central African Republic,2440338,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,755606.9873965002,2037482.0175727168
MMR,Myanmar,1957173,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,704724.0380280549,1944203.9384769844
SLV,El Salvador,818700,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,1067054.7087204817,1621585.7986244105
MOZ,Mozambique,1305029,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,431264.552609489,1314250.4746109063
