iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,9770108,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2884260.3238396156,7197112.680107653
SDN,Sudan,7414464,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,2921519.2156964536,7182766.866360327
COD,Democratic Republic of the Congo,4056079,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,3088510.803685328,5870217.1386942305
COL,Colombia,3332638,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,3134052.7120581726,5511875.247080352
VEN,Venezuela,2568844,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,3448732.520665225,5408032.247923943
AFG,Afghanistan,4754550,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,2313185.71496377,4796653.587482739
MLI,Mali,3215767,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,2437064.8433123883,4633482.987872517
SSD,South Sudan,3845486,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1791688.8452754011,3554608.313047113
SOM,Somalia,2989870,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,1065939.2153445801,2947091.3843217497
NGA,Nigeria,1885864,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1403099.5355124662,2617302.397179844
UKR,Ukraine,6354433,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,528705.8407542061,2364459.0253569046
HTI,Haiti,1798714,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,1096335.5143915622,2294518.5803845124
BFA,Burkina Faso,1413214,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1146719.7136661503,1956245.8877709883
TCD,Chad,1412896,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,513627.45240872167,1363164.2961152024
CMR,Cameroon,855272,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,757714.4047511984,1341737.1320973719
CAF,Central African Republic,1220169,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,377803.4936982501,1018741.0087863584
MMR,Myanmar,978586,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,352361.83897781244,972101.4725517051
HND,Honduras,523920,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,469032.0825578651,885833.135472555
GTM,Guatemala,666884,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,427409.52004357526,808703.6522825065
SLV,El Salvador,304982,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,397499.0584768413,604072.8960987786
NER,Niger,524790,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,196084.38182034597,501740.8538634606
MOZ,Mozambique,305018,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,100797.33960535828,307173.2898386698
