iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,4650651,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,2672826.4710446494
NGA,Nigeria,2573628,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,1657015.8200523953
SOM,Somalia,2486469,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1564424.724969478
COD,Democratic Republic of the Congo,1286038,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,881979.8755552293
YEM,Yemen,1860645,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,821350.9177614354
BFA,Burkina Faso,1348415,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,772407.6014358583
HTI,Haiti,1054487,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,702428.772283814
SSD,South Sudan,1351733,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,619686.6718353569
TCD,Chad,768714,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,462207.3141073253
HND,Honduras,513000,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,408113.7199290653
CAF,Central African Republic,706842,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,371294.10355443275
MOZ,Mozambique,446611,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,302178.13214187196
GTM,Guatemala,185203,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,105890.70538961313
UKR,Ukraine,148900,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,43016.21390725841
SLV,El Salvador,29079,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,19696.115259944236
