iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,4798377,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,2757727.6952520865
NGA,Nigeria,2685378,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,1728965.4250034043
BFA,Burkina Faso,1512252,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,866257.747122792
SOM,Somalia,1243234,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,782212.04789712
HTI,Haiti,891525,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,593874.377977469
TCD,Chad,947459,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,569681.9358263442
YEM,Yemen,930322,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,410675.2381639991
COD,Democratic Republic of the Congo,498492,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,341871.6337505403
MOZ,Mozambique,503305,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,340537.4359289513
HND,Honduras,404465,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,321769.4263764316
SSD,South Sudan,503009,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,230598.77439792547
CAF,Central African Republic,353421,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,185647.05177721637
GTM,Guatemala,151087,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,86384.71841817076
UKR,Ukraine,74450,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,21508.106953629205
SLV,El Salvador,19124,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,12953.28272056032
