iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SOM,Somalia,1243234,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,782212.04789712
SDN,Sudan,1118702,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,642941.4546072348
YEM,Yemen,930322,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,410675.2381639991
NGA,Nigeria,612239,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,394186.6146362483
SSD,South Sudan,540699,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,247877.32767839922
HTI,Haiti,291888,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,194436.27990139084
CAF,Central African Republic,353421,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,185647.05177721637
COD,Democratic Republic of the Congo,252890,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,173434.91462084473
BFA,Burkina Faso,270132,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,154738.71930456965
HND,Honduras,146904,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,116868.49495606123
TCD,Chad,140908,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,84724.23842447906
MOZ,Mozambique,90573,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,61281.92087182306
GTM,Guatemala,52583,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,30064.582979228344
UKR,Ukraine,74450,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,21508.106953629205
SLV,El Salvador,8684,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,5881.94452757508
