iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SOM,Somalia,1243234,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,782212.04789712
SDN,Sudan,1132760,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,651020.8814509059
YEM,Yemen,930322,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,410675.2381639991
NGA,Nigeria,618514,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,398226.7378672781
SSD,South Sudan,559528,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,256509.2692999975
HTI,Haiti,316835,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,211054.30419392767
CAF,Central African Republic,353421,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,185647.05177721637
BFA,Burkina Faso,322156,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,184539.43574357327
COD,Democratic Republic of the Congo,245566,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,168412.02990937704
HND,Honduras,163862,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,130359.31846981774
TCD,Chad,154075,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,92641.20585950841
MOZ,Mozambique,104384,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,70626.47840177955
GTM,Guatemala,57075,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,32632.905569089966
UKR,Ukraine,74450,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,21508.106953629205
SLV,El Salvador,10832,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,7336.852040844457
