iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,4650651.0,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,8018479.413133948
NGA,Nigeria,2573628.0,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,4971047.460157186
SOM,Somalia,2486469.0,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,4693274.174908434
COD,Democratic Republic of the Congo,1286038.0,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,2645939.6266656877
YEM,Yemen,1860645.0,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,2464052.7532843063
BFA,Burkina Faso,1348415.0,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,2317222.804307575
HTI,Haiti,1054487.0,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,2107286.316851442
SSD,South Sudan,1351733.0,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,1859060.0155060706
TCD,Chad,768714.0,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,1386621.9423219757
HND,Honduras,513000.0,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,1224341.159787196
CAF,Central African Republic,706842.0,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,1113882.3106632982
MOZ,Mozambique,446611.0,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,906534.3964256159
GTM,Guatemala,185203.0,100563396.0,43065791,0.4282451937084543,161129045.0,4,3.0,317672.1161688394
UKR,Ukraine,148900.0,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,129048.64172177523
SLV,El Salvador,29079.0,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,59088.34577983271
