iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,4650651,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1832494.7375829094,4505321.208627559
NGA,Nigeria,2573628,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1914802.0490246792,3571817.8690770743
SOM,Somalia,2486469,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,886468.2460570602,2450892.9710265384
BFA,Burkina Faso,1348415,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1094140.0684561164,1866547.6698919747
COD,Democratic Republic of the Congo,1286038,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,979256.6310838305,1861236.5066390596
YEM,Yemen,1860645,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,549286.1031065943,1370637.0208680297
HTI,Haiti,1054487,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,642721.1594306906,1345149.9317145045
SSD,South Sudan,1351733,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,629799.4422267183,1249486.114062075
HND,Honduras,513000,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,459256.1046575523,867369.8245866176
TCD,Chad,768714,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,279449.1692600999,741656.4833674252
CAF,Central African Republic,706842,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,218860.97507202567,590155.0786264584
MOZ,Mozambique,446611,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,147588.66899162892,449766.8011335009
GTM,Guatemala,185203,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,118697.5925957592,224588.2979853723
SLV,El Salvador,29079,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,37900.18795026614,57596.303210210375
UKR,Ukraine,148900,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,12388.878706928104,55405.09261418651
