iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,4798377,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1890703.1728329794,4648430.868085066
NGA,Nigeria,2685378,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1997945.0397671282,3726910.464770532
BFA,Burkina Faso,1512252,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1227081.8010797114,2093339.5482025035
SOM,Somalia,1243234,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,443233.9447700748,1225445.992667195
HTI,Haiti,891525,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,543394.0690226114,1137268.4470000803
TCD,Chad,947459,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,344428.00633005897,914109.9421564031
COD,Democratic Republic of the Congo,498492,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,379577.8946984777,721449.528449018
YEM,Yemen,930322,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,274642.9039469286,685318.1421109277
HND,Honduras,404465,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,362091.65764194325,683861.0840183748
MOZ,Mozambique,503305,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,166323.97107736216,506861.40700631344
SSD,South Sudan,503009,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,234361.95434676768,464960.72874469316
CAF,Central African Republic,353421,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,109430.48753601284,295077.5393132292
GTM,Guatemala,151087,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,96832.46584836893,183217.1842665397
SLV,El Salvador,19124,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,24925.31360641321,37878.59632697353
UKR,Ukraine,74450,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,6194.439353464052,27702.546307093256
