iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SOM,Somalia,1243234,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,443233.9447700748,1225445.992667195
SDN,Sudan,1118702,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,440801.84213424654,1083743.2967414814
NGA,Nigeria,612239,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,455511.24392989994,849697.8585661482
YEM,Yemen,930322,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,274642.9039469286,685318.1421109277
SSD,South Sudan,540699,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,251922.4792266996,499799.80690509884
BFA,Burkina Faso,270132,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,219192.34432440135,373931.063628971
HTI,Haiti,291888,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,177908.873019682,372345.15292107285
COD,Democratic Republic of the Congo,252890,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,192563.6796383854,365998.5942592301
CAF,Central African Republic,353421,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,109430.48753601284,295077.5393132292
HND,Honduras,146904,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,131513.759841351,248382.25479741226
TCD,Chad,140908,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,51224.022903319245,135948.2613277983
MOZ,Mozambique,90573,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,29931.077641569074,91212.99851339213
GTM,Guatemala,52583,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,33700.7257520818,63765.30873131014
UKR,Ukraine,74450,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,6194.439353464052,27702.546307093256
SLV,El Salvador,8684,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,11318.313290006918,17200.257817581998
