iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SOM,Somalia,1243234,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,443233.9447700748,1225445.992667195
SDN,Sudan,1132760,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,446341.11201731034,1097361.9934682162
NGA,Nigeria,618514,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,460179.89956219407,858406.6374294722
YEM,Yemen,930322,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,274642.9039469286,685318.1421109277
SSD,South Sudan,559528,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,260695.28694663162,517204.5562466291
BFA,Burkina Faso,322156,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,261406.01216505945,445945.4479086327
HTI,Haiti,316835,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,193114.3376335819,404168.64182750956
COD,Democratic Republic of the Congo,245566,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,186986.80277622584,355398.8326856029
CAF,Central African Republic,353421,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,109430.48753601284,295077.5393132292
HND,Honduras,163862,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,146695.17314112248,277054.4916109402
TCD,Chad,154075,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,56010.59789954377,148651.80375905219
MOZ,Mozambique,104384,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,34495.11011601191,105121.58851779145
GTM,Guatemala,57075,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,36579.67256147555,69212.57813056551
UKR,Ukraine,74450,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,6194.439353464052,27702.546307093256
SLV,El Salvador,10832,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,14117.914504531891,21454.766545376347
