iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,10405253,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,5435027.821966667
SDN,Sudan,8632772,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,4961434.758293636
VEN,Venezuela,2025085,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1544565.7611656142
YEM,Yemen,3413913,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1507015.349896243
BFA,Burkina Faso,2235030,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1280284.0085857739
COL,Colombia,1777088,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1267944.4611498446
TCD,Chad,2019043,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,1213996.9378692158
NGA,Nigeria,1720395,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,1107666.5826370558
CMR,Cameroon,1498206,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,1023050.3912748238
NER,Niger,1726417,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,1005527.0288977644
HTI,Haiti,1246487,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,830326.3416976545
SOM,Somalia,1295602,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,815160.696763123
MLI,Mali,905081,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,618184.1939097656
MMR,Myanmar,863143,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,546629.449575071
COD,Democratic Republic of the Congo,724394,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,496797.86287260154
GTM,Guatemala,488896,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,279528.6377767115
SSD,South Sudan,607417,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,278463.4385238926
HND,Honduras,312554,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,248650.24487077794
UKR,Ukraine,819567,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,236767.42366239123
CAF,Central African Republic,421915,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,221625.98105541055
MOZ,Mozambique,313604,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,212185.25954851002
SLV,El Salvador,205912,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,139470.6312254767
