iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,3413913,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1507015.349896243
SDN,Sudan,2012659,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,1156717.2536460492
AFG,Afghanistan,1838596,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,960363.0409906061
SOM,Somalia,1295602,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,815160.696763123
COL,Colombia,1009278,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,720115.4078247069
VEN,Venezuela,853214,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,650760.4033150008
MLI,Mali,905081,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,618184.1939097656
MMR,Myanmar,863143,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,546629.449575071
SSD,South Sudan,652930,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,299328.3574799606
HTI,Haiti,408104,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,271851.61285450996
NGA,Nigeria,392233,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,252536.99685681504
COD,Democratic Republic of the Congo,367492,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,252030.3042581497
CMR,Cameroon,362155,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,247297.6442839862
UKR,Ukraine,819567,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,236767.42366239123
BFA,Burkina Faso,399241,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,228695.75257235605
CAF,Central African Republic,421915,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,221625.98105541055
TCD,Chad,300278,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,180549.18716911547
NER,Niger,279187,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,162608.49760914088
GTM,Guatemala,170153,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,97285.79555492537
HND,Honduras,113521,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,90310.87251475132
SLV,El Salvador,93502,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,63331.826026868395
MOZ,Mozambique,56435,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,38184.063732032
