iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,3413913,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1507015.349896243
SDN,Sudan,2037951,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,1171253.0954251166
AFG,Afghanistan,1846221,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,964345.84536283
SOM,Somalia,1295602,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,815160.696763123
COL,Colombia,1105588,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,788832.16864541
VEN,Venezuela,891711,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,680122.7007531788
MLI,Mali,905081,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,618184.1939097656
MMR,Myanmar,863143,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,546629.449575071
SSD,South Sudan,675667,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,309751.8774040288
HTI,Haiti,442983,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,295085.6718315169
BFA,Burkina Faso,476130,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,272739.79544254194
CMR,Cameroon,385290,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,263095.38558400975
NGA,Nigeria,396253,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,255125.25110203255
COD,Democratic Republic of the Congo,356850,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,244731.8964073251
UKR,Ukraine,819567,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,236767.42366239123
CAF,Central African Republic,421915,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,221625.98105541055
TCD,Chad,328336,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,197419.71745635275
NER,Niger,291659,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,169872.63663488778
GTM,Guatemala,184688,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,105596.25166437298
HND,Honduras,126626,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,100736.46764081447
SLV,El Salvador,116632,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,78998.49771305121
MOZ,Mozambique,65040,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,44006.22849528416
