iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,8366997.0,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,14426064.908816744
AFG,Afghanistan,8887445.0,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,13926670.742517807
YEM,Yemen,6827827.0,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,9042093.42367777
COL,Colombia,3003411.0,809539590.0,231936658,0.28650440431208557,1903251829.0,5,3.0,6428761.561621904
VEN,Venezuela,2757469.0,606497714.0,143911895,0.23728349122845993,2035593043.0,5,3.0,6309501.386177249
SOM,Somalia,2591205.0,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,4890966.068104452
COD,Democratic Republic of the Congo,1868832.0,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,3845000.415524962
MLI,Mali,1810162.0,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,3709105.163458593
BFA,Burkina Faso,1992887.0,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,3424734.375402313
MMR,Myanmar,1726287.0,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,3279778.597353859
NGA,Nigeria,1648802.0,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,3184715.504494857
CMR,Cameroon,1496550.0,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,3065758.7736179223
TCD,Chad,1638136.0,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,2954903.022590394
HTI,Haiti,1474332.0,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,2946304.3642038456
NER,Niger,1434056.0,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,2505736.5670397347
SSD,South Sudan,1632306.0,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,2244936.5500958045
UKR,Ukraine,1639135.0,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,1420605.4086542784
CAF,Central African Republic,843830.0,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,1329755.8863324632
GTM,Guatemala,599290.0,100563396.0,43065791,0.4282451937084543,161129045.0,4,3.0,1027940.8135873812
HND,Honduras,396425.0,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,946119.7744028054
SLV,El Salvador,313091.0,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,636198.9500517074
MOZ,Mozambique,278279.0,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,564852.8256198884
