iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,8887445,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,4323923.571426567,8966147.152265836
SDN,Sudan,8366997,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,3296845.53235063,8105533.835289545
VEN,Venezuela,2757469,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,3701965.948506884,5805133.077232634
YEM,Yemen,6827827,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2015661.4966938822,5029692.637919806
COL,Colombia,3003411,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,2824443.695947579,4967364.216488214
BFA,Burkina Faso,1992887,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1617081.9210742274,2758660.046208332
COD,Democratic Republic of the Congo,1868832,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,1423026.4800741947,2704693.285249182
MLI,Mali,1810162,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1371828.920099012,2608197.307918543
SOM,Somalia,2591205,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,923808.4012003707,2554130.423901855
CMR,Cameroon,1496550,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1325844.2839592618,2347763.875165236
NGA,Nigeria,1648802,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1226723.305790887,2288295.140622506
HTI,Haiti,1474332,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,898621.1991478027,1880722.6538824178
MMR,Myanmar,1726287,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,621588.35495653,1714847.8874078162
TCD,Chad,1638136,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,595508.5302662147,1580476.2044630127
SSD,South Sudan,1632306,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,760524.0149817498,1508836.198347018
NER,Niger,1434056,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,535825.7288739459,1371071.251220524
GTM,Guatemala,599290,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,384088.16415885556,726735.102021316
CAF,Central African Republic,843830,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,261276.8576216855,704528.8197325066
HND,Honduras,396425,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,354893.9596274272,670267.2177616956
SLV,El Salvador,313091,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,408067.9440674293,620134.2607513318
UKR,Ukraine,1639135,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,136380.42108314706,609915.5573012398
MOZ,Mozambique,278279,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,91961.07399576253,280245.349202392
