iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,3413913,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1007830.6007405726,2514845.9506368157
SDN,Sudan,2037951,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,803013.2734001816,1974266.3688252983
VEN,Venezuela,891711,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,1197142.6543359226,1877265.3550891015
AFG,Afghanistan,1846221,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,898224.2365452307,1862570.0819080607
COL,Colombia,1105588,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,1039708.2040770617,1828540.3727224716
MLI,Mali,905081,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,685914.460049506,1304098.6539592715
SOM,Somalia,1295602,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,461904.0223417301,1277064.719104853
MMR,Myanmar,863143,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,310793.99744205,857423.447017121
BFA,Burkina Faso,476130,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,386344.64226073626,659084.4377032781
SSD,South Sudan,675667,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,314806.770072936,624558.6474769649
CMR,Cameroon,385290,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,341341.4481084254,604436.8336924352
HTI,Haiti,442983,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,270002.8993890732,565088.57122059
NGA,Nigeria,396253,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,294815.7450619033,549940.9961639359
COD,Democratic Republic of the Congo,356850,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,271724.2638260027,516456.1602333278
CAF,Central African Republic,421915,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,130638.42881084276,352264.4098662533
TCD,Chad,328336,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,119359.37479762844,316779.09225398116
UKR,Ukraine,819567,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,68190.1689402347,304957.59260262595
NER,Niger,291659,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,108976.49482143388,278849.1314563217
SLV,El Salvador,116632,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,152012.6111976148,231011.10891066602
GTM,Guatemala,184688,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,118367.52634312389,223963.77800749685
HND,Honduras,126626,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,113360.16278434155,214096.63042515604
MOZ,Mozambique,65040,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,21493.351106926486,65499.579602210644
