iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,25080572,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,14414329.68213294
COD,Democratic Republic of the Congo,17611104,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,12077900.741898917
AFG,Afghanistan,14764729,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,7712134.716839474
YEM,Yemen,17090595,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,7544360.094665559
COL,Colombia,8180565,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,5836797.097738704
HTI,Haiti,5535548,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,3687412.1592377354
SSD,South Sudan,7761715,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,3558270.262015181
VEN,Venezuela,4384836,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,3344386.8054557648
NGA,Nigeria,5153148,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,3317825.1709537515
SOM,Somalia,4522690,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,2845564.5573591343
TCD,Chad,4457233,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,2680015.835903256
MLI,Mali,2908655,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1986655.9418843277
CMR,Cameroon,2483832,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,1696085.3844270604
BFA,Burkina Faso,2800731,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1604332.4302807762
GTM,Guatemala,2604233,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,1488982.7344530507
UKR,Ukraine,4998551,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1444047.9452138378
HND,Honduras,1224447,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,974100.6238323279
CAF,Central African Republic,1827604,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,960014.5277622093
MOZ,Mozambique,1113323,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,753277.1575500498
NER,Niger,1139385,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,663618.5891477432
SLV,El Salvador,731493,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,495463.06406143226
MMR,Myanmar,248232,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,157205.60964627998
