iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,25877250,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,14872197.203754947
AFG,Afghanistan,17286266,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,9029221.744816436
COD,Democratic Republic of the Congo,6826396,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,4681622.078485018
YEM,Yemen,8545297,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,3772179.826616061
NGA,Nigeria,5376904,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,3461889.2050067084
COL,Colombia,4840358,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,3453574.114552762
TCD,Chad,5493649,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,3303185.253473195
HTI,Haiti,4680080,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,3117556.5451162816
VEN,Venezuela,3220223,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,2456117.2440258153
BFA,Burkina Faso,3141031,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1799265.226763033
CMR,Cameroon,2486581,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,1697962.5398553621
SOM,Somalia,2261345,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1422782.2786795672
SSD,South Sudan,2888306,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1324111.1464927557
GTM,Guatemala,2124516,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,1214702.2340432894
MLI,Mali,1454327,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,993327.629434501
MOZ,Mozambique,1254651,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,848900.0397883881
NER,Niger,1371672,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,798910.8487591667
HND,Honduras,965393,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,768011.9462446007
UKR,Ukraine,2499275,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,722023.8281602637
CAF,Central African Republic,913802,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,480007.26388110465
SLV,El Salvador,481084,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,325853.22444771184
MMR,Myanmar,124116,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,78602.80482313999
