iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,8545297,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,3772179.826616061
SDN,Sudan,6033066,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,3467329.3064475185
COD,Democratic Republic of the Congo,3463101,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,2375035.0992857055
COL,Colombia,2749029,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1961420.0839183517
AFG,Afghanistan,3054464,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,1595453.452327934
SSD,South Sudan,3104722,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1423324.6085980092
SOM,Somalia,2261345,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1422782.2786795672
VEN,Venezuela,1356753,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1034817.9114253133
HTI,Haiti,1532275,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,1020699.2092374597
MLI,Mali,1454327,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,993327.629434501
NGA,Nigeria,1225881,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,789276.5428809643
UKR,Ukraine,2499275,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,722023.8281602637
TCD,Chad,817031,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,491259.0430932988
CAF,Central African Republic,913802,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,480007.26388110465
GTM,Guatemala,739405,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,422758.3625460003
CMR,Cameroon,601072,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,410442.1853766044
BFA,Burkina Faso,561078,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,321400.245620546
HND,Honduras,350637,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,278946.9208864867
MOZ,Mozambique,225785,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,152766.7020419393
SLV,El Salvador,218454,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,147965.71969448257
NER,Niger,221819,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,129195.32188519528
MMR,Myanmar,124116,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,78602.80482313999
