iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,8545297,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,3772179.826616061
SDN,Sudan,6108880,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,3510901.1990870177
COD,Democratic Republic of the Congo,3362810,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,2306254.3605366875
COL,Colombia,3011356,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,2148589.2430483755
AFG,Afghanistan,3067131,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,1602069.8697683224
SSD,South Sudan,3212840,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1472890.080170794
SOM,Somalia,2261345,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1422782.2786795672
HTI,Haiti,1663232,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,1107934.0113089613
VEN,Venezuela,1417970,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1081509.1279427807
MLI,Mali,1454327,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,993327.629434501
NGA,Nigeria,1238444,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,797365.1593194389
UKR,Ukraine,2499275,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,722023.8281602637
TCD,Chad,893376,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,537163.2641631945
CAF,Central African Republic,913802,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,480007.26388110465
GTM,Guatemala,802569,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,458872.6831305995
CMR,Cameroon,639469,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,436661.58769763325
BFA,Burkina Faso,669136,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,383298.7120392345
HND,Honduras,391112,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,311146.53650857037
SLV,El Salvador,272496,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,184570.05481184926
MOZ,Mozambique,260212,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,176060.09731265192
NER,Niger,231729,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,134967.2604471863
MMR,Myanmar,124116,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,78602.80482313999
