iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,25080572,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,43242989.04639882
COD,Democratic Republic of the Congo,17611104,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,36233702.22569675
AFG,Afghanistan,14764729,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,23136404.15051842
YEM,Yemen,17090595,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,22633080.28399668
COL,Colombia,8180565,809539590.0,231936658,0.28650440431208557,1903251829.0,5,3.0,17510391.29321611
HTI,Haiti,5535548,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,11062236.477713207
SSD,South Sudan,7761715,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,10674810.786045544
VEN,Venezuela,4384836,606497714.0,143911895,0.23728349122845993,2035593043.0,5,3.0,10033160.416367294
NGA,Nigeria,5153148,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,9953475.512861256
SOM,Somalia,4522690,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,8536693.672077402
TCD,Chad,4457233,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,8040047.507709769
MLI,Mali,2908655,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,5959967.825652983
CMR,Cameroon,2483832,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,5088256.153281181
BFA,Burkina Faso,2800731,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,4812997.290842328
GTM,Guatemala,2604233,100563396.0,43065791,0.4282451937084543,161129045.0,4,3.0,4466948.203359152
UKR,Ukraine,4998551,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,4332143.835641514
HND,Honduras,1224447,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,2922301.871496984
CAF,Central African Republic,1827604,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,2880043.583286628
NER,Niger,1139385,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,1990855.7674432294
MOZ,Mozambique,763323,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,1549398.81705285
SLV,El Salvador,731493,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,1486389.192184297
MOZ,Mozambique,350000,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,710432.6555972996
MMR,Myanmar,248232,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,471616.82893883996
