iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
COD,Democratic Republic of the Congo,17611104,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,13410016.16803467,25487916.90993359
SDN,Sudan,25080572,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,9882490.904084023,24296820.586216964
AFG,Afghanistan,14764729,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,7183342.315910299,14895477.032749772
COL,Colombia,8180565,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,7693101.358268784,13529898.456007488
YEM,Yemen,17090595,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,5045361.327562778,12589721.422228336
VEN,Venezuela,4384836,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,5886743.808103421,9231130.613559186
SSD,South Sudan,7761715,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,3616338.269260832,7174608.531276014
NGA,Nigeria,5153148,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,3833987.798286088,7151812.969239839
HTI,Haiti,5535548,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,3373975.9984184164,7061388.157656152
SOM,Somalia,4522690,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,1612415.4661730372,4457980.023532172
TCD,Chad,4457233,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,1620329.6141981317,4300345.450101388
MLI,Mali,2908655,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,2204320.413084902,4190976.3549692295
CMR,Cameroon,2483832,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,2200510.8145502,3896596.1989772604
BFA,Burkina Faso,2800731,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,2272588.192853956,3876920.6231347322
GTM,Guatemala,2604233,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,1669066.8491246456,3158049.5835776962
HND,Honduras,1224447,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,1096169.121987575,2070269.745819903
UKR,Ukraine,4998551,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,415892.82773266744,1859940.7729465053
CAF,Central African Republic,1827604,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,565884.8702900145,1525899.398052224
SLV,El Salvador,731493,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,953393.2454453052,1448856.3095067376
MOZ,Mozambique,1113323,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,367912.70194367645,1121189.8594937264
NER,Niger,1139385,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,425723.81977624365,1089342.4089239868
MMR,Myanmar,248232,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,89381.49944219552,246587.1090884755
