iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,25877250,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,10196405.717848392,25068602.921603337
AFG,Afghanistan,17286266,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,8410121.583801603,17439343.32861804
COD,Democratic Republic of the Congo,6826396,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,5197975.137129802,9879597.21561482
COL,Colombia,4840358,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,4551930.667907067,8005504.782459829
NGA,Nigeria,5376904,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,4000464.2460406064,7462353.451047314
VEN,Venezuela,3220223,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,4323223.903006229,6779341.147032044
YEM,Yemen,8545297,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2522680.5161750205,6294860.342791081
HTI,Haiti,4680080,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,2852559.058412656,5970115.603528937
TCD,Chad,5493649,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,1997095.993121731,5300281.246594926
BFA,Burkina Faso,3141031,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,2548716.732877329,4347981.959640362
CMR,Cameroon,2486581,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,2202946.2466684743,3900908.7865238367
SSD,South Sudan,2888306,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1345719.53764544,2669830.6841381956
GTM,Guatemala,2124516,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,1361613.6597742583,2576315.8938175477
SOM,Somalia,2261345,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,806207.7330865186,2228990.011766086
MLI,Mali,1454327,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1102159.8276181004,2095487.4570526015
HND,Honduras,965393,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,864254.636732297,1632266.5829768977
NER,Niger,1371672,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,512516.35164594906,1311427.2004051157
MOZ,Mozambique,1254651,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,414616.4584818023,1263516.4982701903
SLV,El Salvador,481084,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,627022.0440821843,952875.2685298962
UKR,Ukraine,2499275,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,207946.3722649949,929970.2004252586
CAF,Central African Republic,913802,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,282942.4351450073,762949.699026112
MMR,Myanmar,124116,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,44690.74972109776,123293.55454423775
