iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,8545297,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2522680.5161750205,6294860.342791081
SDN,Sudan,6033066,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,2377207.34075517,5844536.647202689
COD,Democratic Republic of the Congo,3463101,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,2636986.3241700823,5012021.423455788
COL,Colombia,2749029,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,2585219.814746326,4546639.8986646775
AFG,Afghanistan,3054464,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,1486059.141595124,3081512.5939230584
SSD,South Sudan,3104722,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1446552.0808244091,2869876.6894224184
VEN,Venezuela,1356753,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,1821472.30178637,2856290.2132116836
SOM,Somalia,2261345,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,806207.7330865186,2228990.011766086
MLI,Mali,1454327,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1102159.8276181004,2095487.4570526015
HTI,Haiti,1532275,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,933938.0803809449,1954637.2896184046
NGA,Nigeria,1225881,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,912066.3322983829,1701342.8751793471
CMR,Cameroon,601072,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,532510.0233523514,942952.2087289558
UKR,Ukraine,2499275,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,207946.3722649949,929970.2004252586
GTM,Guatemala,739405,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,473888.6165627302,896646.9791087306
TCD,Chad,817031,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,297013.7583155096,788272.8014088084
BFA,Burkina Faso,561078,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,455273.7260629857,776673.9716835318
CAF,Central African Republic,913802,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,282942.4351450073,762949.699026112
HND,Honduras,350637,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,313902.8903875442,592849.811274031
SLV,El Salvador,218454,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,284722.57156323944,432688.291257722
MOZ,Mozambique,225785,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,74613.71893722935,227380.42097916867
NER,Niger,221819,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,82881.23152309938,212076.55340829468
MMR,Myanmar,124116,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,44690.74972109776,123293.55454423775
