iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,8545297,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2522680.5161750205,6294860.342791081
SDN,Sudan,6108880,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,2407080.310374931,5917981.509461949
COL,Colombia,3011356,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,2831915.269156941,4980504.512205317
COD,Democratic Republic of the Congo,3362810,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,2560619.508579852,4866873.869116539
AFG,Afghanistan,3067131,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,1492221.8958939423,3094291.765662265
VEN,Venezuela,1417970,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,1903657.5410292214,2985166.6689720023
SSD,South Sudan,3212840,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1496926.419613703,2969816.4997844966
SOM,Somalia,2261345,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,806207.7330865186,2228990.011766086
HTI,Haiti,1663232,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,1013757.779320396,2121691.790629357
MLI,Mali,1454327,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1102159.8276181004,2095487.4570526015
NGA,Nigeria,1238444,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,921413.3156782254,1718778.4749976643
CMR,Cameroon,639469,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,566527.2248966926,1003188.8125943257
GTM,Guatemala,802569,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,514370.7617694414,973243.444900041
UKR,Ukraine,2499275,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,207946.3722649949,929970.2004252586
BFA,Burkina Faso,669136,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,542954.883212106,926253.5952513404
TCD,Chad,893376,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,324767.3140295493,861930.5781927437
CAF,Central African Republic,913802,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,282942.4351450073,762949.699026112
HND,Honduras,391112,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,350137.570379775,661284.1068883454
SLV,El Salvador,272496,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,355158.3484884529,539728.4033003021
MOZ,Mozambique,260212,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,85990.58853375699,262050.68584640892
NER,Niger,231729,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,86584.03878665171,221551.299233838
MMR,Myanmar,124116,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,44690.74972109776,123293.55454423775
