iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,20270923,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,11650123.732550092
COD,Democratic Republic of the Congo,12935678,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,8871439.003095178
YEM,Yemen,19677817,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,8686446.394928413
AFG,Afghanistan,14280440,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,7459173.622200794
VEN,Venezuela,7088469,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,5406492.32821529
COL,Colombia,6013741,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,4290777.717107834
SOM,Somalia,5400043,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,3397573.3399846754
NGA,Nigeria,4930892,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,3174726.9034102038
HTI,Haiti,4214625,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,2807501.528597953
UKR,Ukraine,9208456,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,2660261.336813816
SSD,South Sudan,5657327,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,2593537.436841672
MLI,Mali,3742972,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,2556507.2392933043
TCD,Chad,3560753,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,2140986.2189703854
BFA,Burkina Faso,2031499,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1163696.094977692
CMR,Cameroon,1511471,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,1032108.4002804349
HND,Honduras,1109775,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,882874.0809635058
CAF,Central African Republic,1529765,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,803563.9143174102
NER,Niger,1035711,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,603235.1422783327
MOZ,Mozambique,810850,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,548623.1607534003
MMR,Myanmar,657505,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,416398.66886814474
GTM,Guatemala,673781,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,385237.5251379239
SLV,El Salvador,201391,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,136408.41666891673
