iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,20914823,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,12020186.539822804
AFG,Afghanistan,16719270,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,8733059.889362866
YEM,Yemen,9838908,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,4343222.976747488
VEN,Venezuela,5205771,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,3970527.482584129
COD,Democratic Republic of the Congo,5014113,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,3438737.2377486955
NGA,Nigeria,5144998,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,3312577.8395859594
TCD,Chad,4388716,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,2638818.383351733
COL,Colombia,3558270,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,2538809.9732684353
HTI,Haiti,3563294,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,2373628.3422235465
SOM,Somalia,2700021,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1698786.3554047185
UKR,Ukraine,4604228,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1330130.668406908
BFA,Burkina Faso,2278334,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1305089.6795198545
MLI,Mali,1871486,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1278253.6196466521
CMR,Cameroon,1513143,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,1033250.1259538146
SSD,South Sudan,2105216,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,965112.4123880549
NER,Niger,1246861,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,726216.4568458811
HND,Honduras,874982,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,696086.0797094998
MOZ,Mozambique,913781,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,618266.5356803391
CAF,Central African Republic,764882,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,401781.6945157781
GTM,Guatemala,549666,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,314274.1773550487
MMR,Myanmar,328752,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,208199.01778350023
SLV,El Salvador,132449,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,89711.84600792167
