iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,9838908,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,4343222.976747488
SDN,Sudan,4876118,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,2802407.0751250293
COD,Democratic Republic of the Congo,2543711,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,1744506.7029344917
SOM,Somalia,2700021,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1698786.3554047185
VEN,Venezuela,2193310,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1672873.7458537065
AFG,Afghanistan,2954276,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,1543121.7533844104
COL,Colombia,2020881,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1441889.692909388
UKR,Ukraine,4604228,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1330130.668406908
MLI,Mali,1871486,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1278253.6196466521
SSD,South Sudan,2262957,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1037426.9858296894
HTI,Haiti,1166635,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,777134.2754849774
NGA,Nigeria,1173008,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,755234.5611129581
CAF,Central African Republic,764882,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,401781.6945157781
TCD,Chad,652702,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,392452.3793406643
HND,Honduras,317799,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,252822.8695511443
CMR,Cameroon,365766,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,249763.41665633913
BFA,Burkina Faso,406976,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,233126.56415269768
MMR,Myanmar,328752,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,208199.01778350023
NER,Niger,201635,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,117439.43813794739
MOZ,Mozambique,164442,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,111261.87309688679
GTM,Guatemala,191302,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,109377.83795318526
SLV,El Salvador,60143,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,40736.73304029802
