iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,9838908,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,4343222.976747488
SDN,Sudan,4937393,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,2837623.1001531943
VEN,Venezuela,2292272,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1748353.6969947556
SOM,Somalia,2700021,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1698786.3554047185
COD,Democratic Republic of the Congo,2470045,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,1693985.7000460455
COL,Colombia,2213724,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1579482.3240686327
AFG,Afghanistan,2966527,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,1549520.8794649502
UKR,Ukraine,4604228,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1330130.668406908
MLI,Mali,1871486,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1278253.6196466521
SSD,South Sudan,2341762,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1073554.2448179552
HTI,Haiti,1266342,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,843552.4158680284
NGA,Nigeria,1185030,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,762974.8577637055
TCD,Chad,713692,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,429124.0466804107
CAF,Central African Republic,764882,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,401781.6945157781
HND,Honduras,354484,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,282007.3760142978
BFA,Burkina Faso,485355,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,278024.1182387477
CMR,Cameroon,389132,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,265718.8963717638
MMR,Myanmar,328752,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,208199.01778350023
MOZ,Mozambique,189516,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,128227.00491255031
NER,Niger,210644,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,122686.60206377757
GTM,Guatemala,207644,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,118721.4549976017
SLV,El Salvador,75022,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,50814.74462779107
