iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,20270923,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,34950371.197650276
COD,Democratic Republic of the Congo,12935678,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,26614317.009285532
YEM,Yemen,19677817,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,26059339.18478524
AFG,Afghanistan,14280440,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,22377520.86660238
VEN,Venezuela,7088469,606497714.0,143911895,0.23728349122845993,2035593043.0,5,3.0,16219476.98464587
COL,Colombia,6013741,809539590.0,231936658,0.28650440431208557,1903251829.0,5,3.0,12872333.151323503
SOM,Somalia,5400043,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,10192720.019954026
NGA,Nigeria,4930892,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,9524180.710230611
HTI,Haiti,4214625,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,8422504.585793858
UKR,Ukraine,9208456,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,7980784.010441448
SSD,South Sudan,5657327,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,7780612.310525015
MLI,Mali,3742972,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,7669521.717879913
TCD,Chad,3560753,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,6422958.656911156
BFA,Burkina Faso,2031499,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,3491088.2849330762
CMR,Cameroon,1511471,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,3096325.200841305
CAF,Central African Republic,1529765,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,2410691.7429522304
NER,Niger,1035711,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,1809705.4268349982
HND,Honduras,754949,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,1801783.8874077655
MMR,Myanmar,657505,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,1249196.0066044342
GTM,Guatemala,673781,100563396.0,43065791,0.4282451937084543,161129045.0,4,3.0,1155712.5754137717
MOZ,Mozambique,460850,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,935436.8266629013
HND,Honduras,354826,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,846838.3554827517
MOZ,Mozambique,350000,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,710432.6555972996
SLV,El Salvador,201391,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,409225.2500067502
