iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,20270923,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,7987346.228183616,19637469.960733708
COD,Democratic Republic of the Congo,12935678,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,9849902.148354266,18721341.151449442
VEN,Venezuela,7088469,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,9516433.680685673,14922926.008900963
YEM,Yemen,19677817,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,5809142.215508436,14495588.61043685
AFG,Afghanistan,14280440,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,6947725.822926927,14406899.445127722
COL,Colombia,6013741,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,5655394.102409391,9946171.819517225
NGA,Nigeria,4930892,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,3668627.3638301254,6843354.267240329
MLI,Mali,3742972,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,2836606.4676646837,5393113.706957988
HTI,Haiti,4214625,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,2568859.2335093506,5376360.762107303
SOM,Somalia,5400043,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,1925206.647194357,5322779.9871790325
SSD,South Sudan,5657327,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,2635861.807837904,5229399.244679576
TCD,Chad,3560753,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,1294433.908827481,3435420.1277978662
UKR,Ukraine,9208456,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,766168.1965217215,3426429.5333355376
BFA,Burkina Faso,2031499,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1648412.732673941,2812108.827651633
CMR,Cameroon,1511471,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1339063.3027431022,2371171.703023537
HND,Honduras,1109775,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,993510.611201433,1876384.692164939
CAF,Central African Republic,1529765,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,473664.35431264323,1277228.2686300534
NER,Niger,1035711,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,386986.70168930874,990221.8439676415
GTM,Guatemala,673781,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,431829.84420750866,817067.3693454326
MOZ,Mozambique,810850,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,267956.3921440858,816579.5528974861
MMR,Myanmar,657505,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,236749.42308300606,653148.0919511508
SLV,El Salvador,201391,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,262483.46750204783,398891.8841709646
