iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,20914823,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,8241061.968523975,20261248.50834678
AFG,Afghanistan,16719270,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,8134266.445535816,16867326.33489868
VEN,Venezuela,5205771,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,6988868.044472896,10959395.527057026
COD,Democratic Republic of the Congo,5014113,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,3818008.0248434637,7256745.262592159
YEM,Yemen,9838908,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2904570.9601478497,7247793.936895337
NGA,Nigeria,5144998,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,3827924.126030598,7140501.965616558
COL,Colombia,3558270,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,3346239.7487321557,5885049.722000591
HTI,Haiti,3563294,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,2171865.9889334086,4545494.331156955
TCD,Chad,4388716,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,1595421.7567502458,4234240.140101979
BFA,Burkina Faso,2278334,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1848701.2668398805,3153790.946359735
MLI,Mali,1871486,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1418303.2338323419,2696556.853478994
SOM,Somalia,2700021,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,962603.1453387232,2661389.5007434417
CMR,Cameroon,1513143,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1340544.5841187863,2373794.7100726007
SSD,South Sudan,2105216,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,980862.2431846843,1945974.6555727392
UKR,Ukraine,4604228,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,383084.0982608608,1713214.7666677688
HND,Honduras,874982,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,783315.4482757786,1479401.5279852785
NER,Niger,1246861,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,465881.53051868064,1192097.9873645618
MOZ,Mozambique,913781,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,301971.3386814021,920237.8743617411
GTM,Guatemala,549666,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,352283.8773224007,666558.0546774494
CAF,Central African Republic,764882,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,236832.02234027002,638613.7168560481
MMR,Myanmar,328752,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,118374.53150528803,326573.5492887882
SLV,El Salvador,132449,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,172627.7380179786,262339.5840259003
