iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,9838908,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2904570.9601478497,7247793.936895337
SDN,Sudan,4876118,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1921335.4377340507,4723742.51285908
VEN,Venezuela,2193310,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,2944569.4346952345,4617443.180548941
COD,Democratic Republic of the Congo,2543711,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,1936914.6668379018,3681421.3697723933
COL,Colombia,2020881,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,1900460.7097431018,3342350.40265249
AFG,Afghanistan,2954276,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,1437315.6326593067,2980437.386043717
MLI,Mali,1871486,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1418303.2338323419,2696556.853478994
SOM,Somalia,2700021,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,962603.1453387232,2661389.5007434417
SSD,South Sudan,2262957,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1054356.9302392171,2091783.9160689064
UKR,Ukraine,4604228,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,383084.0982608608,1713214.7666677688
NGA,Nigeria,1173008,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,872728.3515420025,1627962.9126549605
HTI,Haiti,1166635,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,711076.5707234169,1488210.8462083943
CAF,Central African Republic,764882,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,236832.02234027002,638613.7168560481
TCD,Chad,652702,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,237275.54288643852,629727.9222271028
CMR,Cameroon,365766,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,324044.4758722685,573807.8925286076
BFA,Burkina Faso,406976,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,330231.23333691515,563357.7974896128
HND,Honduras,317799,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,284505.1282730321,537327.9978241764
MMR,Myanmar,328752,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,118374.53150528803,326573.5492887882
GTM,Guatemala,191302,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,122606.47429444407,231984.31224762934
NER,Niger,201635,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,75339.61075543638,192779.04889338376
MOZ,Mozambique,164442,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,54342.09167781681,165603.9647747036
SLV,El Salvador,60143,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,78387.5306541785,119124.26369447651
