iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,9838908,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2904570.9601478497,7247793.936895337
VEN,Venezuela,2292272,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,3077428.209969277,4825781.906964033
SDN,Sudan,4937393,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1945479.6091727144,4783102.709325909
COL,Colombia,2213724,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,2081812.5778882273,3661294.90195686
COD,Democratic Republic of the Congo,2470045,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,1880821.5195238865,3574807.2195699317
AFG,Afghanistan,2966527,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,1443275.9944588507,2992796.873923801
MLI,Mali,1871486,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1418303.2338323419,2696556.853478994
SOM,Somalia,2700021,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,962603.1453387232,2661389.5007434417
SSD,South Sudan,2341762,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1091073.7560063447,2164628.0008242996
UKR,Ukraine,4604228,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,383084.0982608608,1713214.7666677688
NGA,Nigeria,1185030,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,881672.8261254989,1644647.6838892044
HTI,Haiti,1266342,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,771849.0588084819,1615401.4746765103
TCD,Chad,713692,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,259447.12403778153,688571.1707181922
BFA,Burkina Faso,485355,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,393830.0544902855,671854.1727290333
CAF,Central African Republic,764882,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,236832.02234027002,638613.7168560481
CMR,Cameroon,389132,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,344745.2059106849,610464.1022824487
HND,Honduras,354484,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,317346.8635544401,599354.2395687379
MMR,Myanmar,328752,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,118374.53150528803,326573.5492887882
GTM,Guatemala,207644,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,133080.1494411744,251801.6044387761
NER,Niger,210644,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,78705.76520925506,201392.3672730326
MOZ,Mozambique,189516,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,62628.1354302011,190855.1403427514
SLV,El Salvador,75022,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,97780.11281009892,148594.85743789
