iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
TCD,Chad,289254,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,173920.7487242333
SSD,South Sudan,272003,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,124696.692171629
SDN,Sudan,214607,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,123339.13477306275
MLI,Mali,139597,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,95346.89040784366
CMR,Cameroon,137445,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,93854.35716367987
COD,Democratic Republic of the Congo,132999,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,91212.26703174396
YEM,Yemen,96261,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,42492.82409843551
CAF,Central African Republic,36000,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,18910.29074101366
SOM,Somalia,23961,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,15075.667878824817
BFA,Burkina Faso,8183,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,4687.437771420244
