iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
TCD,Chad,1578000.0,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,2846428.4831342706
SDN,Sudan,892161.0,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,1538230.8007418737
COD,Democratic Republic of the Congo,676351.0,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,1391548.237637585
CMR,Cameroon,567971.0,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,1163517.474464966
SSD,South Sudan,680000.0,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,935214.8764172569
MLI,Mali,279195.0,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,572083.3914930387
YEM,Yemen,192522.0,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,254956.94459061304
CAF,Central African Republic,72000.0,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,113461.74444608197
SOM,Somalia,47923.0,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,90455.89479866304
BFA,Burkina Faso,40850.0,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,70199.86543902614
