iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
TCD,Chad,1578000,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,573647.4021449299,1522456.8965230202
COD,Democratic Republic of the Congo,676351,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,515009.04459291237,978858.457138774
CMR,Cameroon,567971,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,503184.72740945907,891023.8855644477
SDN,Sudan,892161,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,351537.95405776653,864281.5543050577
SSD,South Sudan,680000,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,316825.60144212533,628563.893581211
MLI,Mali,279195,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,211587.56804476268,402282.0318757756
YEM,Yemen,192522,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,56834.946560084136,141820.59475695516
CAF,Central African Republic,72000,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,22293.511428559494,60114.09291058681
BFA,Burkina Faso,40850,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,33146.78477800407,56546.73992434611
SOM,Somalia,47923,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,17085.35990426283,47237.32483715051
