iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
COD,Democratic Republic of the Congo,6472173,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,4438691.809349269
AFG,Afghanistan,7801981,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,4075247.7427944634
YEM,Yemen,8615107,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,3802996.2948670844
NGA,Nigeria,4800512,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,3090782.4784123288
SDN,Sudan,3724374,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,2140475.6915258626
SOM,Somalia,3351045,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,2108394.535578503
SSD,South Sudan,4334588,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1987142.7356567278
MLI,Mali,2838298,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1938601.0326210582
TCD,Chad,2786296,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,1675325.7914750923
GTM,Guatemala,2200000,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,1257860.5738414004
VEN,Venezuela,1172289,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,894124.1733512799
HTI,Haiti,1170492,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,779703.5511372128
BFA,Burkina Faso,1314600,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,753037.4794462975
CAF,Central African Republic,774736,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,406957.8613202767
NER,Niger,669603,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,390000.7443920152
CMR,Cameroon,562839,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,384334.77050200745
HND,Honduras,434415,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,345595.94862180296
MOZ,Mozambique,268485,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,181657.6300362295
MMR,Myanmar,268885,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,170285.17817904215
SLV,El Salvador,208293,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,141083.35691872364
