iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,9134412,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,4771223.088694354
NGA,Nigeria,5008956,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,3224987.9679372334
SDN,Sudan,3842677,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,2208466.9017895428
TCD,Chad,3434178,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,2064880.032816452
YEM,Yemen,4307553,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1901497.9267168236
COD,Democratic Republic of the Congo,2508736,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,1720520.4395833744
SOM,Somalia,1675522,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1054196.9532016325
GTM,Guatemala,1794746,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,1026154.6515725263
MLI,Mali,1419149,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,969300.5163105291
BFA,Burkina Faso,1474329,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,844534.4546132515
SSD,South Sudan,1612996,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,739459.7327458479
HTI,Haiti,989603,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,659207.3874200244
VEN,Venezuela,860929,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,656644.7611801733
NER,Niger,806115,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,469510.21734605334
CMR,Cameroon,563461,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,384759.50337810925
HND,Honduras,342506,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,272478.3582027767
MOZ,Mozambique,302567,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,204717.5974343887
CAF,Central African Republic,387368,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,203478.93066013834
SLV,El Salvador,136989,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,92786.9298581279
MMR,Myanmar,134442,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,85142.27243894893
