iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,4307553,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1901497.9267168236
SOM,Somalia,1675522,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1054196.9532016325
MLI,Mali,1419149,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,969300.5163105291
COD,Democratic Republic of the Congo,1272707,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,872837.3201089464
AFG,Afghanistan,1614040,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,843069.5828123621
SSD,South Sudan,1733855,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,794866.1713482564
NGA,Nigeria,1141992,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,735265.0850757278
SDN,Sudan,895888,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,514885.5851559811
GTM,Guatemala,624633,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,357136.91991830705
TCD,Chad,510741,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,307094.9999798227
VEN,Venezuela,362729,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,276659.39651019196
HTI,Haiti,323999,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,215826.4822526816
CAF,Central African Republic,387368,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,203478.93066013834
BFA,Burkina Faso,263357,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,150857.820990825
HND,Honduras,124400,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,98965.58822451408
CMR,Cameroon,136203,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,93006.25711204256
MMR,Myanmar,134442,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,85142.27243894893
NER,Niger,130360,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,75926.3280465337
SLV,El Salvador,62204,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,42132.71273529252
MOZ,Mozambique,54449,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,36840.33110915939
