iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
YEM,Yemen,4307553,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1901497.9267168236
SOM,Somalia,1675522,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1054196.9532016325
MLI,Mali,1419149,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,969300.5163105291
COD,Democratic Republic of the Congo,1235850,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,847560.3591845109
AFG,Afghanistan,1620733,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,846565.5709649253
SSD,South Sudan,1794234,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,822546.2394968827
NGA,Nigeria,1153696,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,742800.6392264804
SDN,Sudan,907146,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,521355.793393714
GTM,Guatemala,677993,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,387645.7563820239
TCD,Chad,558465,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,335790.1738135996
VEN,Venezuela,379095,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,289142.014892747
HTI,Haiti,351690,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,234272.37597475792
CAF,Central African Republic,387368,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,203478.93066013834
BFA,Burkina Faso,314077,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,179911.57190936772
HND,Honduras,138760,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,110389.5902092731
CMR,Cameroon,144904,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,98947.7374254856
MMR,Myanmar,134442,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,85142.27243894893
NER,Niger,136184,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,79318.43401878755
SLV,El Salvador,77593,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,52556.16325750037
MOZ,Mozambique,62751,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,42457.48530608204
