iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
COD,Democratic Republic of the Congo,6472173.0,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,13316075.428047806
AFG,Afghanistan,7801981.0,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,12225743.22838339
YEM,Yemen,8615107.0,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,11408988.884601254
NGA,Nigeria,4800512.0,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,9272347.435236987
SDN,Sudan,3724374.0,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,6421427.074577588
SOM,Somalia,3351045.0,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,6325183.606735509
SSD,South Sudan,4334588.0,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,5961428.206970183
MLI,Mali,2838298.0,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,5815803.097863175
TCD,Chad,2786296.0,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,5025977.374425277
GTM,Guatemala,2200000.0,100563396.0,43065791,0.4282451937084543,161129045.0,4,3.0,3773581.7215242013
VEN,Venezuela,1172289.0,606497714.0,143911895,0.23728349122845993,2035593043.0,5,3.0,2682372.52005384
HTI,Haiti,1170492.0,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,2339110.6534116385
BFA,Burkina Faso,1314600.0,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,2259112.4383388925
CAF,Central African Republic,774736.0,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,1220873.58396083
NER,Niger,669603.0,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,1170002.2331760456
CMR,Cameroon,562839.0,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,1153004.3115060222
HND,Honduras,434415.0,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,1036787.8458654089
MOZ,Mozambique,268485.0,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,544972.8901086885
MMR,Myanmar,268885.0,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,510855.5345371264
SLV,El Salvador,208293.0,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,423250.0707561709
