iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
COD,Democratic Republic of the Congo,6472173,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,4928251.208573719,9366943.017922986
AFG,Afghanistan,7801981,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,3795823.158368037,7871070.9011625005
NGA,Nigeria,4800512,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,3571623.4879196063,6662405.966331935
YEM,Yemen,8615107,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2543289.317347663,6346285.612214748
MLI,Mali,2838298,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,2151000.45203644,4089601.484657498
SSD,South Sudan,4334588,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,2019571.2501526752,4006713.985809403
SDN,Sudan,3724374,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1467514.065405168,3607989.7569310307
SOM,Somalia,3351045,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,1194704.2105122893,3303098.746090792
TCD,Chad,2786296,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,1012896.9974694609,2688222.788944553
GTM,Guatemala,2200000,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,1409991.7588304197,2667852.33267182
VEN,Venezuela,1172289,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,1573825.1127425863,2467949.2860938665
BFA,Burkina Faso,1314600,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1066701.6712157687,1819739.1506620662
HTI,Haiti,1170492,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,713427.4536759086,1493131.0048131214
CMR,Cameroon,562839,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,498638.1149572998,882972.8854593072
HND,Honduras,434415,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,388903.9779820869,734499.9266038898
CAF,Central African Republic,774736,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,239883.13708495093,646840.9984052277
NER,Niger,669603,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,250192.82059499825,640193.5649870135
SLV,El Salvador,208293,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,271479.20660011645,412562.5635188401
MOZ,Mozambique,268485,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,88724.51371376318,270382.1437499927
MMR,Myanmar,268885,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,96818.07533885534,267103.2535178975
