iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,9134412,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,4444078.0626965,9215301.151390854
NGA,Nigeria,5008956,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,3726707.6719224616,6951695.639859695
SDN,Sudan,3842677,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1514128.9640376973,3722595.86582724
COD,Democratic Republic of the Congo,2508736,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,1910282.871609334,3630803.311192708
TCD,Chad,3434178,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,1248420.334729576,3313300.367546028
YEM,Yemen,4307553,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1271644.5110674629,3173142.437784286
GTM,Guatemala,1794746,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,1150262.3041790274,2176416.9557515536
MLI,Mali,1419149,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1075500.22601822,2044800.742328749
BFA,Burkina Faso,1474329,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1196310.0625451643,2040844.5171584156
VEN,Venezuela,860929,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,1155817.1069491925,1812461.8681293656
SOM,Somalia,1675522,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,597351.9269976893,1651548.8801993218
SSD,South Sudan,1612996,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,751527.0997407977,1490986.8324866456
HTI,Haiti,989603,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,603173.664100259,1262381.0515202833
CMR,Cameroon,563461,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,499189.1658039956,883948.6691821049
NER,Niger,806115,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,301199.64452658815,770709.8618726415
HND,Honduras,342506,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,306623.72589052556,579102.0840933023
CAF,Central African Republic,387368,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,119941.56854247546,323420.49920261384
MOZ,Mozambique,302567,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,99987.37337591368,304704.9708103024
SLV,El Salvador,136989,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,178544.95846208633,271331.88832021423
MMR,Myanmar,134442,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,48408.857633212676,133551.1300721616
