iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,11252673,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,6467146.699335083
MMR,Myanmar,8987638,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,5691881.429751492
AFG,Afghanistan,9352775,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,4885281.726219852
YEM,Yemen,7320459,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,3231495.3782612802
COD,Democratic Republic of the Congo,4006648,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,2747805.9780765483
SOM,Somalia,3023636,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,1902396.9000650372
COL,Colombia,2160165,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1541268.2134591837
SSD,South Sudan,3048326,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,1397470.501651721
NGA,Nigeria,1969549,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,1268082.9752273348
VEN,Venezuela,1633225,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1245687.6700383986
MLI,Mali,1728161,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,1180360.4481049702
HTI,Haiti,1611291,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,1073334.3881166473
BFA,Burkina Faso,1842924,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1055675.3718021363
UKR,Ukraine,3472097,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,1003065.5960963748
CMR,Cameroon,1198337,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,818284.7597253639
NER,Niger,1119382,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,651968.12627635
MOZ,Mozambique,890107,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,602248.6474054719
HND,Honduras,524179,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,417007.09863293864
CAF,Central African Republic,589510,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,309661.2637426379
GTM,Guatemala,398015,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,227566.98922612955
TCD,Chad,309599,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,186153.65693913965
SLV,El Salvador,178794,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,121102.7625360731
