iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,11610111,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,6672573.799359845
AFG,Afghanistan,10950053,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,5719595.929768317
MMR,Myanmar,4493819,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,2845940.714875746
YEM,Yemen,3660229,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1615747.4684139215
NGA,Nigeria,2055069,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,1323144.5431504694
BFA,Burkina Faso,2066846,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,1183943.7868885305
COD,Democratic Republic of the Congo,1553052,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,1065101.1942810398
SOM,Somalia,1511818,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,951198.4500325186
VEN,Venezuela,1199440,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,914832.689280936
COL,Colombia,1278148,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,911952.9686373165
HTI,Haiti,1362281,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,907460.5664513326
CMR,Cameroon,1199663,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,819190.2192007835
NER,Niger,1347591,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,784885.212784262
MOZ,Mozambique,1003099,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,678699.3203780911
MLI,Mali,864080,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,590179.8825448222
SSD,South Sudan,1134349,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,520029.4411024701
UKR,Ukraine,1736048,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,501532.6536015323
HND,Honduras,413279,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,328781.34514339996
TCD,Chad,381588,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,229438.7308876722
GTM,Guatemala,324698,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,185647.64209325227
CAF,Central African Republic,294755,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,154830.63187131894
SLV,El Salvador,117588,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,79646.02638283031
