iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MMR,Myanmar,4493819,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,2845940.714875746
YEM,Yemen,3660229,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1615747.4684139215
SDN,Sudan,2740815,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,1575203.747655165
AFG,Afghanistan,1942886,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,1014837.3581026362
SOM,Somalia,1511818,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,951198.4500325186
MLI,Mali,864080,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,590179.8825448222
SSD,South Sudan,1261806,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,578460.6580159575
COL,Colombia,795180,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,567357.4277791159
COD,Democratic Republic of the Congo,765062,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,524688.4520924225
UKR,Ukraine,1736048,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,501532.6536015323
VEN,Venezuela,528153,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,402831.0122572152
HTI,Haiti,484134,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,322497.71807604266
NGA,Nigeria,473337,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,304755.34817624796
BFA,Burkina Faso,440302,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,252216.57407208558
CMR,Cameroon,308515,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,210669.55509733126
CAF,Central African Republic,294755,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,154830.63187131894
MOZ,Mozambique,208040,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,140760.39016234496
HND,Honduras,167433,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,133200.20364304716
NER,Niger,227661,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,132597.9117014568
GTM,Guatemala,122659,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,70130.8727849147
SLV,El Salvador,66604,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,45112.97021126332
TCD,Chad,62053,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,37310.8210105473
