iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
SDN,Sudan,11252673,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,19401440.09800525
MMR,Myanmar,8801544,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,16722083.659824971
AFG,Afghanistan,9352775,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,14655845.178659558
YEM,Yemen,7320459,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,9694486.134783842
COD,Democratic Republic of the Congo,4006648,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,8243417.934229645
SOM,Somalia,3023636,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,5707190.700195111
COL,Colombia,2160165,809539590.0,231936658,0.28650440431208557,1903251829.0,5,3.0,4623804.640377551
SSD,South Sudan,3048326,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,4192411.504955163
NGA,Nigeria,1969549,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,3804248.9256820045
VEN,Venezuela,1633225,606497714.0,143911895,0.23728349122845993,2035593043.0,5,3.0,3737063.010115196
MLI,Mali,1728161,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,3541081.3443149105
HTI,Haiti,1611291,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,3220003.1643499415
BFA,Burkina Faso,1842924,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,3167026.115406409
UKR,Ukraine,3472097,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,3009196.788289124
CMR,Cameroon,1198337,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,2454854.279176092
NER,Niger,1119382,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,1955904.3788290499
HND,Honduras,524179,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,1251021.2958988158
MOZ,Mozambique,540107,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,1096313.286619116
CAF,Central African Republic,589510,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,928983.7912279137
MOZ,Mozambique,350000,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,710432.6555972996
GTM,Guatemala,398015,100563396.0,43065791,0.4282451937084543,161129045.0,4,3.0,682700.9676783886
TCD,Chad,309599,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,558460.970817419
SLV,El Salvador,178794,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,363308.2876082193
MMR,Myanmar,186094,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,353560.62942950334
