iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,11252673,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,4433887.654919987,10901034.354255069
AFG,Afghanistan,9352775,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,4550316.123559596,9435597.84977945
MMR,Myanmar,8987638,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,3236200.654563695,8928082.084315188
COD,Democratic Republic of the Congo,4006648,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,3050871.453579729,5798677.431656277
YEM,Yemen,7320459,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,2161092.7377665252,5392588.116027806
COL,Colombia,2160165,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,2031445.052460886,3572713.26592007
VEN,Venezuela,1633225,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,2192642.360168022,3438330.0302064205
SOM,Somalia,3023636,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,1077977.3653461938,2980374.2654112307
SSD,South Sudan,3048326,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,1420276.056384806,2817746.558036527
NGA,Nigeria,1969549,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1465361.9174389257,2733444.8926662607
BFA,Burkina Faso,1842924,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1495397.9238731547,2551073.2956752907
MLI,Mali,1728161,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1309684.568777396,2490045.0168823665
HTI,Haiti,1611291,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,982099.1815927905,2055433.569709438
CMR,Cameroon,1198337,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1061647.2965867429,1879932.0563121068
UKR,Ukraine,3472097,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,288887.76757346507,1291953.36366984
NER,Niger,1119382,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,418249.8284853418,1070217.9547616919
MOZ,Mozambique,890107,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,294147.94393808447,896396.5913435563
HND,Honduras,524179,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,469263.94870037254,886271.0473333112
CAF,Central African Republic,589510,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,182531.2211423626,492192.4848850005
GTM,Guatemala,398015,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,255089.94085949523,482656.9300856248
SLV,El Salvador,178794,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,233031.61059114427,354134.3731272174
TCD,Chad,309599,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,112547.94807139933,298701.60501053894
