iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
SDN,Sudan,11610111,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,4574728.851993721,11247302.651353566
AFG,Afghanistan,10950053,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,5327424.504463341,11047020.434231658
MMR,Myanmar,4493819,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,1618100.3272818476,4464041.042157594
BFA,Burkina Faso,2066846,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1677094.235771814,2861038.0226603444
NGA,Nigeria,2055069,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1528989.5556339526,2852134.098784422
YEM,Yemen,3660229,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1080546.221276894,2696293.6896908153
VEN,Venezuela,1199440,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,1610275.9585972126,2525108.6478781486
COD,Democratic Republic of the Congo,1553052,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,1182575.0634258126,2247676.2577068526
COL,Colombia,1278148,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,1201985.6959596958,2113938.664597012
CMR,Cameroon,1199663,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1062822.0448547793,1882012.2640555627
HTI,Haiti,1362281,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,830324.9103975684,1737785.476848901
SOM,Somalia,1511818,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,538988.6826730969,1490187.1327056154
NER,Niger,1347591,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,503518.64208857226,1288403.8548728344
MLI,Mali,864080,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,654841.9054643476,1245021.7880091697
SSD,South Sudan,1134349,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,528515.8884856963,1048545.3295881664
MOZ,Mozambique,1003099,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,331487.68453270063,1010187.0049107918
HND,Honduras,413279,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,369982.26837576716,698763.6135191671
UKR,Ukraine,1736048,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,144443.8421853937,645976.495786926
GTM,Guatemala,324698,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,208100.68368578164,393748.32577903394
TCD,Chad,381588,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,138717.9752152595,368156.7061029317
CAF,Central African Republic,294755,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,91265.6105711813,246096.24244250025
SLV,El Salvador,117588,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,153258.6162074313,232904.64259026162
