iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MMR,Myanmar,4493819,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,1618100.3272818476,4464041.042157594
YEM,Yemen,3660229,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1080546.221276894,2696293.6896908153
SDN,Sudan,2706801,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1066560.055395289,2622215.2453138893
AFG,Afghanistan,1934862,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,941349.8940648916,1951996.0361304493
SOM,Somalia,1511818,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,538988.6826730969,1490187.1327056154
MLI,Mali,864080,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,654841.9054643476,1245021.7880091697
COL,Colombia,725910,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,682654.4629840229,1200588.0508498368
COD,Democratic Republic of the Congo,787879,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,599932.3000111174,1140268.9171037525
SSD,South Sudan,1219344,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,568116.7590659513,1127111.1944924826
VEN,Venezuela,505351,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,678445.4128201994,1063884.963244406
NGA,Nigeria,468535,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,348594.19389273744,650257.8015501958
UKR,Ukraine,1736048,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,144443.8421853937,645976.495786926
HTI,Haiti,446015,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,271850.93597500917,568956.3235901863
BFA,Burkina Faso,369198,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,299577.15168836096,511063.4831478271
CMR,Cameroon,289990,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,256911.95342978608,454931.70703228546
HND,Honduras,150106,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,134380.305742157,253796.13038869167
CAF,Central African Republic,294755,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,91265.6105711813,246096.24244250025
NER,Niger,217925,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,81426.26366393967,208353.58062881275
MOZ,Mozambique,180516,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,59653.96322905814,181791.5453793459
GTM,Guatemala,113006,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,72426.14940835928,137037.8730481417
SLV,El Salvador,53395,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,69592.50784430209,105758.60964645218
TCD,Chad,56750,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,20630.221845199474,54752.48978306806
