iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MMR,Myanmar,4493819,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,1618100.3272818476,4464041.042157594
YEM,Yemen,3660229,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1080546.221276894,2696293.6896908153
SDN,Sudan,2740815,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1079962.5824832483,2655166.3301384132
AFG,Afghanistan,1942886,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,945253.7340028182,1960091.0921054543
SOM,Somalia,1511818,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,538988.6826730969,1490187.1327056154
COL,Colombia,795180,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,747796.8010850316,1315154.2288641473
MLI,Mali,864080,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,654841.9054643476,1245021.7880091697
SSD,South Sudan,1261806,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,587900.6541960036,1166361.312211961
VEN,Venezuela,528153,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,709057.6255260735,1111888.6377832887
COD,Democratic Republic of the Congo,765062,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,582558.2422061071,1107246.6942985295
NGA,Nigeria,473337,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,352166.9244658492,656922.2726420972
UKR,Ukraine,1736048,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,144443.8421853937,645976.495786926
HTI,Haiti,484134,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,295084.8761528762,617582.5942289189
BFA,Burkina Faso,440302,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,357272.84287208685,609489.4169441725
CMR,Cameroon,308515,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,273323.87776264857,483993.4328599798
HND,Honduras,167433,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,149892.0611522962,283092.2647953434
CAF,Central African Republic,294755,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,91265.6105711813,246096.24244250025
NER,Niger,227661,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,85064.05695535697,217661.96865681375
MOZ,Mozambique,208040,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,68749.64274730913,209510.03290965408
GTM,Guatemala,122659,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,78612.8087029002,148743.6814878149
SLV,El Salvador,66604,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,86808.4912906058,131921.4615018691
TCD,Chad,62053,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,22558.011562293617,59868.83257284091
