iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
AFG,Afghanistan,14173291.0,2416811546.0,1154426288,0.4776650003640789,0.0,0,1.0,7403205.949324804
SDN,Sudan,12070270.0,4162518656.0,1770232060,0.4252790693077917,0.0,0,1.0,6937036.808106241
MMR,Myanmar,8814501.0,1412961603.0,518131403,0.36669885572255,0.0,0,1.0,5582233.569534727
COD,Democratic Republic of the Congo,6213757.0,2538016151.0,797415042,0.3141883244855679,0.0,0,1.0,4261467.099409531
YEM,Yemen,6188013.0,2478772922.0,1384559671,0.5585665627986879,0.0,0,1.0,2731595.848036403
COL,Colombia,3281409.0,809539590.0,231936658,0.28650440431208557,0.0,0,1.0,2341270.8691506837
SOM,Somalia,3010877.0,1430543255.0,530480862,0.37082476195380754,0.0,0,1.0,1894369.2532028058
MLI,Mali,2271395.0,771314315.0,244494817,0.3169846743995669,0.0,0,1.0,1551397.5954921958
VEN,Venezuela,1950657.0,606497714.0,143911895,0.23728349122845993,0.0,0,1.0,1487798.296850766
NGA,Nigeria,1829278.0,910246471.0,324189433,0.35615566039365615,0.0,0,1.0,1177770.2858664133
HTI,Haiti,1535819.0,908159989.0,303204493,0.33386682596958145,0.0,0,1.0,1023059.9852062234
SSD,South Sudan,2000081.0,1694778653.0,917826590,0.5415613350895799,0.0,0,1.0,916914.4633526979
CMR,Cameroon,1147218.0,359298328.0,113951363,0.3171497168781704,0.0,0,1.0,783378.1361024592
BFA,Burkina Faso,1322131.0,792565236.0,338563009,0.4271736806281016,0.0,0,1.0,757351.4344574873
UKR,Ukraine,2416005.0,2633534010.0,1872723652,0.7111066896759005,0.0,0,1.0,697967.682209576
HND,Honduras,865234.0,138491372.0,28315487,0.20445668629811828,0.0,0,1.0,688331.1234875339
GTM,Guatemala,1166612.0,100563396.0,43065791,0.4282451937084543,0.0,0,1.0,667016.0180773926
CAF,Central African Republic,910131.0,326056578.0,154783670,0.47471414608295376,0.0,0,1.0,478078.93951137515
SLV,El Salvador,631280.0,66923449.0,21594106,0.32266875546118373,0.0,0,1.0,427585.6680524639
NER,Niger,691733.0,603027582.0,251802743,0.417564221797072,0.0,0,1.0,402890.048163646
MOZ,Mozambique,533025.0,682722983.0,220790886,0.3233974708597147,0.0,0,1.0,360646.0630950006
TCD,Chad,306221.0,1454258243.0,579851381,0.398726556160906,0.0,0,1.0,184122.5552458512
MMR,Myanmar,220323.0,1412961603.0,518131403,0.36669885572255,0.0,0,1.0,139530.8080106406
