iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,16593822,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,8667534.00832854
SDN,Sudan,12453679,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,7157389.9854220105
MMR,Myanmar,4517412,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,2860882.188772684
COD,Democratic Republic of the Congo,2408569,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,1651824.7414821202
COL,Colombia,1941577,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,1385306.6381889537
YEM,Yemen,3094006,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1365797.7033014828
NGA,Nigeria,1908707,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,1228910.1979170057
VEN,Venezuela,1432562,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,1092638.687238775
SOM,Somalia,1505438,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,947184.3120137838
HTI,Haiti,1298472,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,864955.2747496257
BFA,Burkina Faso,1482775,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,849372.5457066665
CMR,Cameroon,1148487,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,784244.6731117407
MLI,Mali,1135697,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,775698.4562384351
GTM,Guatemala,951714,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,544147.0537149521
HND,Honduras,682178,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,542702.1466545223
NER,Niger,832756,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,485026.8889131575
MOZ,Mozambique,600688,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,406427.0200242197
UKR,Ukraine,1208002,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,348983.69665813283
SSD,South Sudan,744274,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,341203.97888753796
SLV,El Salvador,415176,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,281211.67678264756
CAF,Central African Republic,455065,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,239039.20711276063
TCD,Chad,377424,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,226935.0282675262
