iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MMR,Myanmar,4517412,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,2860882.188772684
SDN,Sudan,2903472,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,1668686.1300787674
AFG,Afghanistan,2932110,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,1531543.6757824807
YEM,Yemen,3094006,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1365797.7033014828
SOM,Somalia,1505438,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,947184.3120137838
COD,Democratic Republic of the Congo,1221892,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,837987.7998176805
COL,Colombia,1102697,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,786769.4528782762
MLI,Mali,1135697,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,775698.4562384351
VEN,Venezuela,603571,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,460353.5659157472
SSD,South Sudan,800041,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,366769.72791359737
UKR,Ukraine,1208002,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,348983.69665813283
HTI,Haiti,425124,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,283189.19947650767
NGA,Nigeria,435166,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,280179.1658891342
CAF,Central African Republic,455065,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,239039.20711276063
HND,Honduras,247771,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,197112.56237922894
CMR,Cameroon,277619,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,189572.21274999922
GTM,Guatemala,331229,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,189381.77273314237
BFA,Burkina Faso,264866,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,151722.21590675722
SLV,El Salvador,188526,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,127694.55020792487
NER,Niger,134669,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,78436.04381481011
MOZ,Mozambique,108098,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,73139.38019500655
TCD,Chad,56131,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,33750.07967613218
