iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MMR,Myanmar,4517412,1412961603.0,518131403,0.36669885572255,0.0,0,0.0,0.0,2860882.188772684
SDN,Sudan,2939958,4162518656.0,1770232060,0.4252790693077917,0.0,0,0.0,0.0,1689655.3979560034
AFG,Afghanistan,2944269,2416811546.0,1154426288,0.4776650003640789,0.0,0,0.0,0.0,1537894.7470430539
YEM,Yemen,3094006,2478772922.0,1384559671,0.5585665627986879,0.0,0,0.0,0.0,1365797.7033014828
SOM,Somalia,1505438,1430543255.0,530480862,0.37082476195380754,0.0,0,0.0,0.0,947184.3120137838
COL,Colombia,1207922,809539590.0,231936658,0.28650440431208557,0.0,0,0.0,0.0,861847.026934537
COD,Democratic Republic of the Congo,1186506,2538016151.0,797415042,0.3141883244855679,0.0,0,0.0,0.0,813719.6678679268
MLI,Mali,1135697,771314315.0,244494817,0.3169846743995669,0.0,0,0.0,0.0,775698.4562384351
VEN,Venezuela,630804,606497714.0,143911895,0.23728349122845993,0.0,0,0.0,0.0,481124.62459912256
SSD,South Sudan,827902,1694778653.0,917826590,0.5415613350895799,0.0,0,0.0,0.0,379542.2875566666
UKR,Ukraine,1208002,2633534010.0,1872723652,0.7111066896759005,0.0,0,0.0,0.0,348983.69665813283
HTI,Haiti,461458,908159989.0,303204493,0.33386682596958145,0.0,0,0.0,0.0,307392.4822217289
NGA,Nigeria,439626,910246471.0,324189433,0.35615566039365615,0.0,0,0.0,0.0,283050.7116437785
CAF,Central African Republic,455065,326056578.0,154783670,0.47471414608295376,0.0,0,0.0,0.0,239039.20711276063
HND,Honduras,276372,138491372.0,28315487,0.20445668629811828,0.0,0,0.0,0.0,219865.89669441644
GTM,Guatemala,359525,100563396.0,43065791,0.4282451937084543,0.0,0,0.0,0.0,205560.14673196795
CMR,Cameroon,295354,359298328.0,113951363,0.3171497168781704,0.0,0,0.0,0.0,201682.56252116486
BFA,Burkina Faso,315876,792565236.0,338563009,0.4271736806281016,0.0,0,0.0,0.0,180942.08645791776
SLV,El Salvador,235165,66923449.0,21594106,0.32266875546118373,0.0,0,0.0,0.0,159284.6021219707
MOZ,Mozambique,124581,682722983.0,220790886,0.3233974708597147,0.0,0,0.0,0.0,84291.81968282588
NER,Niger,140685,603027582.0,251802743,0.417564221797072,0.0,0,0.0,0.0,81939.97745647893
TCD,Chad,61376,1454258243.0,579851381,0.398726556160906,0.0,0,0.0,0.0,36903.75888906823
