iso3,country_name,people_in_need,requirements,funding,coverage_ratio,cumulative_historical_gap,years_with_data,temporal_multiplier,gap_score
AFG,Afghanistan,14173291.0,2416811546.0,1154426288,0.4776650003640789,3674463109.0,5,3.0,22209617.847974412
SDN,Sudan,12070270.0,4162518656.0,1770232060,0.4252790693077917,4100390210.0,5,3.0,20811110.424318723
MMR,Myanmar,8814501.0,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,16746700.708604183
COD,Democratic Republic of the Congo,6213757.0,2538016151.0,797415042,0.3141883244855679,4831445777.0,5,3.0,12784401.298228592
YEM,Yemen,6188013.0,2478772922.0,1384559671,0.5585665627986879,3658826694.0,5,3.0,8194787.5441092085
COL,Colombia,3281409.0,809539590.0,231936658,0.28650440431208557,1903251829.0,5,3.0,7023812.607452052
SOM,Somalia,3010877.0,1430543255.0,530480862,0.37082476195380754,1821474506.0,5,3.0,5683107.759608418
MLI,Mali,2271395.0,771314315.0,244494817,0.3169846743995669,1461348879.0,5,3.0,4654192.786476588
VEN,Venezuela,1950657.0,606497714.0,143911895,0.23728349122845993,2035593043.0,5,3.0,4463394.890552298
NGA,Nigeria,1829278.0,910246471.0,324189433,0.35615566039365615,1693078611.0,5,3.0,3533310.85759924
HTI,Haiti,1535819.0,908159989.0,303204493,0.33386682596958145,1383833184.0,5,3.0,3069179.95561867
SSD,South Sudan,2000081.0,1694778653.0,917826590,0.5415613350895799,1974078184.0,5,3.0,2750743.3900580937
CMR,Cameroon,1147218.0,359298328.0,113951363,0.3171497168781704,795786366.0000001,5,3.0,2350134.4083073772
BFA,Burkina Faso,1322131.0,792565236.0,338563009,0.4271736806281016,1607771683.0,5,3.0,2272054.303372462
UKR,Ukraine,2416005.0,2633534010.0,1872723652,0.7111066896759005,782561004.9999998,5,3.0,2093903.046628728
HND,Honduras,865234.0,138491372.0,28315487,0.20445668629811828,275516604.0,4,3.0,2064993.3704626015
GTM,Guatemala,1166612.0,100563396.0,43065791,0.4282451937084543,161129045.0,4,3.0,2001048.0542321778
CAF,Central African Republic,910131.0,326056578.0,154783670,0.47471414608295376,360562800.0,5,3.0,1434236.8185341256
SLV,El Salvador,631280.0,66923449.0,21594106,0.32266875546118373,193832991.00000003,4,3.0,1282757.0041573918
NER,Niger,691733.0,603027582.0,251802743,0.417564221797072,563293368.0,5,3.0,1208670.1444909382
MOZ,Mozambique,533025.0,682722983.0,220790886,0.3233974708597147,705047124.0,5,3.0,1081938.1892850017
TCD,Chad,306221.0,1454258243.0,579851381,0.398726556160906,1321659479.0,5,3.0,552367.6657375536
MMR,Myanmar,220323.0,1412961603.0,518131403,0.36669885572255,1413245883.0,5,3.0,418592.42403192184
