iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,14173291,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,6895595.645271281,14298801.594596084
SDN,Sudan,12070270,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,4756045.176515044,11693081.984621285
COD,Democratic Republic of the Congo,6213757,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,4731479.743361836,8992946.842771366
MMR,Myanmar,9034824,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,3253191.032245378,8974955.409790747
COL,Colombia,3281409,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,3085876.3465525196,5427147.215703203
YEM,Yemen,6188013,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,1826780.2545584708,4558376.102594874
VEN,Venezuela,1950657,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,2618802.1664854954,4106600.4633362615
MLI,Mali,2271395,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,1721373.7499562446,3272771.3454484404
SOM,Somalia,3010877,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,1073428.566084493,2967797.8192872987
NGA,Nigeria,1829278,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1360999.049837726,2538769.3357041394
HTI,Haiti,1535819,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,936098.1864695192,1959158.1716757426
SSD,South Sudan,2000081,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,931877.7437617169,1848792.2071144148
BFA,Burkina Faso,1322131,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1072812.5264462007,1830163.9609036879
CMR,Cameroon,1147218,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1016359.2447664138,1799737.380868873
HND,Honduras,865234,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,774588.6870512137,1462919.8105387476
GTM,Guatemala,1166612,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,747687.8662512153,1414703.884328608
SLV,El Salvador,631280,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,822780.3792855329,1250366.0473379968
UKR,Ukraine,2416005,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,201018.08529437095,898985.767503947
CAF,Central African Republic,910131,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,281805.7756942539,759884.7152056291
NER,Niger,691733,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,258461.55164872308,661351.5998123691
MOZ,Mozambique,533025,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,176145.34861269203,536791.4117076925
TCD,Chad,306221,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,111319.95002041987,295442.50526627107
