iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
AFG,Afghanistan,16593822,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,8073233.430514253,16740767.438842792
SDN,Sudan,12453679,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,4907119.719593405,12064509.705015415
MMR,Myanmar,4517412,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,1626595.516122689,4487477.704895373
COD,Democratic Republic of the Congo,2408569,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,1834010.476107977,3485835.2175900973
COL,Colombia,1941577,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,1825882.27779908,3211188.9159880336
VEN,Venezuela,1432562,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,1923247.6387313579,3015886.325970133
NGA,Nigeria,1908707,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,1420094.9300317483,2649005.127948754
YEM,Yemen,3094006,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,913389.9796728669,2279187.6829743497
BFA,Burkina Faso,1482775,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,1203163.3732975516,2052535.9190042182
CMR,Cameroon,1148487,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,1017483.4948057338,1801728.1679174746
HTI,Haiti,1298472,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,791432.6391205275,1656387.9138701533
MLI,Mali,1135697,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,860686.4960537718,1636384.952292207
SOM,Somalia,1505438,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,536714.1047837912,1483898.416797575
GTM,Guatemala,951714,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,609958.5894379701,1154105.6431529222
HND,Honduras,682178,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,610710.3527545413,1153412.4994090637
SLV,El Salvador,415176,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,541120.6861460055,822332.3629286531
NER,Niger,832756,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,311153.8814900894,796180.7704032469
SSD,South Sudan,744274,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,346772.1436584359,687976.1225459739
MOZ,Mozambique,600688,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,198505.50568446275,604932.5257086825
UKR,Ukraine,1208002,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,100509.00104584664,449492.69770397944
CAF,Central African Republic,455065,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,140902.73303107536,379941.94014383596
TCD,Chad,377424,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,137204.2440476223,364139.2723151485
