iso3,country_name,people_in_need,requirements,funding,coverage_ratio,avg_gap,consecutive_years_underfunded,temporal_factor_value,temporal_factor_normalized,gap_score
MMR,Myanmar,4517412,1412961603.0,518131403,0.36669885572255,282649176.6,4,508768517.88000005,1626595.516122689,4487477.704895373
AFG,Afghanistan,2932110,2416811546.0,1154426288,0.4776650003640789,734892621.8,3,1175828194.88,1426531.4207869137,2958075.0965693947
SDN,Sudan,2903472,4162518656.0,1770232060,0.4252790693077917,820078042.0,5,1640156084.0,1144054.2755668669,2812740.405645634
YEM,Yemen,3094006,2478772922.0,1384559671,0.5585665627986879,731765338.8,0,731765338.8,913389.9796728669,2279187.6829743497
COL,Colombia,1102697,809539590.0,231936658,0.28650440431208557,380650365.8,5,761300731.6,1036989.4730325978,1823758.925910874
COD,Democratic Republic of the Congo,1221892,2538016151.0,797415042,0.3141883244855679,966289155.4,5,1932578310.8,930412.5099478272,1768400.3097655077
MLI,Mali,1135697,771314315.0,244494817,0.3169846743995669,292269775.8,5,584539551.6,860686.4960537718,1636384.952292207
SOM,Somalia,1505438,1430543255.0,530480862,0.37082476195380754,364294901.2,2,510012861.67999995,536714.1047837912,1483898.416797575
VEN,Venezuela,603571,606497714.0,143911895,0.23728349122845993,407118608.6,5,814237217.2,810308.0359221621,1270661.6018379093
SSD,South Sudan,800041,1694778653.0,917826590,0.5415613350895799,394815636.8,5,789631273.6,372755.10441670497,739524.8323303023
NGA,Nigeria,435166,910246471.0,324189433,0.35615566039365615,338615722.2,5,677231444.4,323767.3620530525,603946.5279421867
HTI,Haiti,425124,908159989.0,303204493,0.33386682596958145,276766636.8,5,553533273.6,259117.64695232175,542306.8464288295
UKR,Ukraine,1208002,2633534010.0,1872723652,0.7111066896759005,156512200.99999994,2,219117081.39999992,100509.00104584664,449492.69770397944
CMR,Cameroon,277619,359298328.0,113951363,0.3171497168781704,159157273.20000002,5,318314546.40000004,245952.06593063133,435524.27868063055
HND,Honduras,247771,138491372.0,28315487,0.20445668629811828,68879151.0,4,123982471.80000001,221813.5366610261,418926.09904025507
GTM,Guatemala,331229,100563396.0,43065791,0.4282451937084543,40282261.25,3,64451618.0,212286.43649347321,401668.2092266156
CAF,Central African Republic,455065,326056578.0,154783670,0.47471414608295376,72112560.0,2,100957584.0,140902.73303107536,379941.94014383596
SLV,El Salvador,188526,66923449.0,21594106,0.32266875546118373,48458247.75000001,4,87224845.95000002,245715.83732287475,373410.3875307996
BFA,Burkina Faso,264866,792565236.0,338563009,0.4271736806281016,321554336.6,5,643108673.2,214919.37079585865,366641.58670261584
NER,Niger,134669,603027582.0,251802743,0.417564221797072,112658673.6,5,225317347.2,50318.19892788386,128754.24274269397
MOZ,Mozambique,108098,682722983.0,220790886,0.3233974708597147,141009424.8,3,225615079.68000004,35722.45184435023,108861.83203935678
TCD,Chad,56131,1454258243.0,579851381,0.398726556160906,264331895.8,5,528663791.6,20405.197927628047,54155.27760376023
